t,p1,p2,v1,a1,v2,a2,
20.9,0.252,0.261,0.003,0.056,-0.005,0.027,
20.95,0.252,0.261,0.006,0.038,-0.004,0.025,
21.0,0.252,0.261,0.008,0.012,-0.003,0.025,
21.05,0.253,0.261,0.007,-0.011,-0.002,0.029,
21.1,0.253,0.26,0.005,-0.008,-0.0,0.032,
21.15,0.253,0.261,0.006,0.015,0.002,0.036,
21.2,0.254,0.261,0.008,0.021,0.003,0.041,
21.25,0.254,0.261,0.008,0.017,0.007,0.027,
21.3,0.255,0.261,0.01,-0.003,0.007,-0.005,
21.35,0.255,0.262,0.009,-0.031,0.005,-0.011,
21.4,0.256,0.262,0.005,-0.017,0.005,0.009,
21.45,0.256,0.262,0.005,0.024,0.006,0.016,
21.5,0.256,0.262,0.009,0.024,0.007,-0.001,
21.55,0.257,0.263,0.009,-0.01,0.006,-0.019,
21.6,0.257,0.263,0.007,-0.03,0.004,-0.018,
21.65,0.257,0.263,0.006,-0.04,0.004,-0.006,
21.7,0.258,0.263,0.003,-0.036,0.005,-0.006,
21.75,0.258,0.264,0.002,-0.024,0.004,-0.02,
21.8,0.258,0.264,0.001,-0.025,0.002,-0.028,
21.85,0.258,0.264,-0.0,-0.032,0.001,-0.019,
21.9,0.258,0.264,-0.002,-0.038,0.0,-0.009,
21.95,0.258,0.264,-0.005,-0.032,0.0,-0.006,
22.0,0.257,0.264,-0.006,-0.015,0.0,-0.016,
22.05,0.257,0.264,-0.006,-0.007,-0.002,-0.018,
22.1,0.257,0.264,-0.006,-0.014,-0.002,-0.012,
22.15,0.256,0.264,-0.007,-0.022,-0.002,-0.015,
22.2,0.256,0.263,-0.008,-0.018,-0.004,-0.011,
22.25,0.256,0.263,-0.01,0.004,-0.004,-0.004,
22.3,0.255,0.263,-0.009,0.037,-0.004,-0.003,
